id,link,neighborhood,price,listing_type,num_guests,num_bed,num_bath,shared_bath,num_ammenities,number_review,overall_review,accuracy,communication,cleanliness,value,check_in,location
34470953,https://www.airbnb.com/rooms/34470953?location=Lower%20Manhattan%2C%20New%20York%2C%20NY%2C%20United%20States&toddlers=0&adults=1&check_in=2019-12-25&check_out=2019-12-26,downtown,428,Private,4,1,1,notshared,4,0,0,0,0,0,0,0,0
32101427,https://www.airbnb.com/rooms/32101427?location=Lower%20Manhattan%2C%20New%20York%2C%20NY%2C%20United%20States&toddlers=0&adults=1&check_in=2019-12-25&check_out=2019-12-26,downtown,280,Private,2,1,1,sharedbath,4,30,4.5,4.7,4.6,4.4,4.6,4.6,4.6
36305475,https://www.airbnb.com/rooms/36305475?location=Lower%20Manhattan%2C%20New%20York%2C%20NY%2C%20United%20States&toddlers=0&adults=1&check_in=2019-12-25&check_out=2019-12-26,downtown,1096,Entire,12,3,2,notshared,4,0,0,0,0,0,0,0,0
34485281,https://www.airbnb.com/rooms/34485281?location=Lower%20Manhattan%2C%20New%20York%2C%20NY%2C%20United%20States&toddlers=0&adults=1&check_in=2019-12-25&check_out=2019-12-26,downtown,540,Room,2,1,1,notshared,4,0,0,0,0,0,0,0,0
9260911,https://www.airbnb.com/rooms/9260911?location=Lower%20Manhattan%2C%20New%20York%2C%20NY%2C%20United%20States&toddlers=0&adults=1&check_in=2019-12-25&check_out=2019-12-26,downtown,744,Entire,5,2,2,notshared,4,176,5,4.8,4.9,4.9,4.8,4.8,4.8
15397893,https://www.airbnb.com/rooms/15397893?location=Lower%20Manhattan%2C%20New%20York%2C%20NY%2C%20United%20States&toddlers=0&adults=1&check_in=2019-12-25&check_out=2019-12-26,downtown,413,Entire,3,1,1,notshared,4,29,5,4.9,4.9,4.9,5,5,5
32101077,https://www.airbnb.com/rooms/32101077?location=Lower%20Manhattan%2C%20New%20York%2C%20NY%2C%20United%20States&toddlers=0&adults=1&check_in=2019-12-25&check_out=2019-12-26,downtown,269,Private,2,1,1,sharedbath,4,21,4.5,4.6,4.8,4.9,4.8,4.8,4.8
33242964,https://www.airbnb.com/rooms/33242964?location=Lower%20Manhattan%2C%20New%20York%2C%20NY%2C%20United%20States&toddlers=0&adults=1&check_in=2019-12-25&check_out=2019-12-26,downtown,280,Private,2,1,1,sharedbath,4,16,4.5,4.8,4.6,4.7,4.4,4.4,4.6
35583886,https://www.airbnb.com/rooms/35583886?location=Lower%20Manhattan%2C%20New%20York%2C%20NY%2C%20United%20States&toddlers=0&adults=1&check_in=2019-12-25&check_out=2019-12-26,downtown,513,Entire,4,1,1,notshared,6,0,0,0,0,0,0,0,0
29277979,https://www.airbnb.com/rooms/29277979?location=Lower%20Manhattan%2C%20New%20York%2C%20NY%2C%20United%20States&toddlers=0&adults=1&check_in=2019-12-25&check_out=2019-12-26,downtown,452,Entire,2,1,1,notshared,5,26,5,4.9,4.8,4.7,5,5,5
